"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Very,Somewhat,Very,Male,Disagree,Too soon to tell,QC,OCT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Disagree,No impact,BC,OCT
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Extremely,Extremely,Not at all,Female,Strongly agree,Too soon to tell,ON,OCT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,OCT
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Not working at a job or business,No impact,QC,OCT
Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,Minor impact,ON,OCT
Very,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Very,Not at all,Male,Strongly agree,Moderate impact,ON,OCT
Somewhat,Somewhat,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Major impact,NS,OCT
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,AB,OCT
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Extremely,Extremely,Very,Not at all,Female,Strongly disagree,No impact,NS,OCT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Male,Strongly disagree,Minor impact,ON,OCT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,NB,OCT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Strongly disagree,No impact,ON,OCT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,ON,OCT
Somewhat,Somewhat,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Neither agree nor disagree,No impact,QC,OCT
Very,Very,Extremely,Extremely,Extremely,Very,Extremely,Very,Very,Extremely,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,NU,OCT
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,QC,OCT
Very,Very,Extremely,Very,Not at all,Very,Somewhat,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Male,Strongly disagree,No impact,QC,OCT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Not working at a job or business,Major impact,QC,OCT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Extremely,Extremely,Extremely,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,BC,OCT
Very,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Moderate impact,BC,OCT
Somewhat,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,OCT
Somewhat,Extremely,Somewhat,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Agree,Major impact,QC,OCT
Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,Disagree,Moderate impact,NB,OCT
Extremely,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Extremely,Somewhat,Extremely,Not at all,Female,Disagree,No impact,ON,OCT
Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,ON,OCT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,QC,OCT
Very,Very,Very,Very,Very,Extremely,Not at all,Not at all,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,MB,OCT
Very,Extremely,Not at all,Very,Extremely,Extremely,Very,Very,Very,Extremely,Very,Very,Female,Disagree,Minor impact,BC,OCT
Not at all,Not at all,Not at all,Extremely,Extremely,Extremely,Not at all,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,OCT
Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,NS,OCT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Moderate impact,ON,OCT
Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Somewhat,Not at all,Somewhat,Female,Agree,No impact,QC,OCT
Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Very,Female,Not working at a job or business,No impact,QC,OCT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Female,Strongly agree,Major impact,ON,OCT
Somewhat,Somewhat,Not at all,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Too soon to tell,ON,OCT
Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Extremely,Very,Male,Strongly agree,Major impact,ON,OCT
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,OCT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Agree,Major impact,ON,OCT
Somewhat,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,ON,OCT
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Extremely,Extremely,Somewhat,Male,Disagree,Moderate impact,AB,OCT
Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Very,Female,Strongly agree,Major impact,QC,OCT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,ON,OCT
Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Too soon to tell,NS,OCT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,APRIL
Somewhat,Very,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Disagree,No impact,ON,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Moderate impact,BC,APRIL
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,Minor impact,AB,APRIL
Somewhat,Extremely,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Very,Very,Female,Strongly agree,Major impact,ON,APRIL
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,QC,APRIL
Somewhat,Very,Extremely,Very,Very,Somewhat,Not at all,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,ON,APRIL
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Major impact,ON,APRIL
Very,Very,Very,Very,Very,Extremely,Very,Very,Extremely,Very,Very,Not at all,Male,Not working at a job or business,No impact,ON,JULY
Somewhat,Very,Very,Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Very,Extremely,Extremely,Female,Strongly disagree,Minor impact,ON,JULY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Very,Very,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,QC,JULY
Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JULY
Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Not at all,Female,Strongly disagree,No impact,ON,JULY
Very,Very,Extremely,Very,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,ON,JULY
Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Extremely,Very,Very,Somewhat,Not at all,Male,Disagree,Minor impact,BC,JULY
Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Very,Not at all,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,ON,JULY
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Extremely,Not at all,Female,Not working at a job or business,Minor impact,BC,JULY
Extremely,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Strongly disagree,No impact,NS,JULY
Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Very,Somewhat,Female,Agree,Major impact,NB,JULY
Very,Not at all,Not at all,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,ON,JULY
Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,Too soon to tell,ON,JULY
Somewhat,Very,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Extremely,Very,Somewhat,Male,Neither agree nor disagree,Moderate impact,MB,JULY
Somewhat,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Somewhat,Female,Strongly agree,Moderate impact,ON,JULY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,NS,JULY
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Somewhat,Female,Strongly agree,Moderate impact,MB,JULY
Very,Very,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Disagree,No impact,ON,JULY
Somewhat,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Very,Not at all,Not at all,Male,Not working at a job or business,No impact,ON,JULY
Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Not at all,Not at all,Female,Strongly agree,Major impact,MB,AUG
Very,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Too soon to tell,AB,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Agree,Moderate impact,NL,AUG
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Not working at a job or business,No impact,ON,AUG
Very,Very,Somewhat,Very,Somewhat,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,NS,AUG
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,ON,AUG
Somewhat,Very,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Agree,Major impact,ON,AUG
Very,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,AUG
Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Somewhat,Very,Very,Very,Very,Extremely,Male,Disagree,No impact,BC,AUG
Somewhat,Not at all,Extremely,Very,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,AUG
Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,Minor impact,ON,AUG
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly agree,Major impact,ON,AUG
Extremely,Extremely,Extremely,Very,Very,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,QC,SEPT
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Not at all,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,SEPT
Somewhat,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,No impact,AB,SEPT
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Too soon to tell,NU,SEPT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,NU,SEPT
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Disagree,Too soon to tell,QC,SEPT
Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Very,Somewhat,Male,Not working at a job or business,Major impact,QC,SEPT
Not at all,Somewhat,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Female,Strongly disagree,No impact,ON,SEPT
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,SEPT
Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Male,Disagree,Moderate impact,QC,SEPT
Not at all,Not at all,Extremely,Very,Very,Very,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,SEPT
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Disagree,No impact,ON,SEPT
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,SK,SEPT
Somewhat,Somewhat,Very,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Female,Strongly disagree,No impact,BC,SEPT
Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,SK,SEPT
